Número control Encuesta;Zona/ Barrio del Estableciminto;Lugar realización encuesta;Departamento;Tipo: H o R;Nombre hot/rest;Tamaño;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuántos aportan al hog;Lugar nacimiento código;Otro país. Especificar;Año llegó Uruguay última vez;Nivel educ formal;Asiste ed formal;Nombre centro ed;Alguno de los estudios que;Especifique si es otro;Realizó cursos rel con cargo;Han sido pagados por;Especifique quien pagó;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Término del contrato;Especifique meses/u otro término;Contrato por empresa para la que hace tarea;Está en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio día libre;Horas que trabaja en la semana;Razón empleo es parcial;Especifique razón;Trabaja todos meses del año;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Sección o depto trabaja;Nombre secciòn o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Otro Especificar ;Realiza tareas diferentes puestos;Antigüedad AÑOS;Además del tiempo que lleva en esta;Años;Si no tiene experiencia..Ramo de donde proviene;Especificar ramo;Cuál es la Principal razón trabaja en rubro;Especifique razón estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuánto gana hora/día;Propina mes/temp alta;Propina mes/temp baja;No cobra propina;Estoy activamente buscando otras;El año que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intención de renunciar;Motivo principal por el que está buscando;Otro. Especificar;Me sentiría culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podría;Aunque fuera ventajoso;Esta empresa se merece;Sería muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminación ventilación;El entorno físico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formación;La forma en que se lleva a cabo la negociación;La supervisión que ejercen sobre mí;Estoy satisfecho de cómo mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participación;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;En resumen
1;COLONIA ;TRABAJO;4;1;Sheraton;104;2;34;1;1;0;1;99;99;8;2;99;1;;1;3;99;576;1;2;Lic NutriciÃ_n ÃÅrea Salud;2;1;99;1;1;1;99;2;NULL;1;40;NULL;NULL;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.12.;Supervisor pastelería / Panadería Supervisor pastelería /  Panadería   ;;1;2;1;2;99;NULL;1;99;35000;11;NULL;5000;NULL;NULL;3;NULL;NULL;NULL;6;99;1;5;2;3;2;4;3;4;3;5;4;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;COLONIA ;TRABAJO;4;1;Sheraton;104;2;43;1;0;0;1;99;99;4;2;0;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;4;NULL;1;40;NULL;NULL;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;6;1;2;99;NULL;2;99;25500;11;NULL;NULL;1000;NULL;1;1;1;1;NULL;99;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;CORDON ;TRABAJO;1;2;OPB;40;2;26;1;0;1;1;99;2018;4;2;99;7;NULL;2;99;99;99;2;99;99;1;1;99;1;1;2;99;4;NULL;1;30;4;por ganas;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;2;99;NULL;4;Por dinero;NULL;4;NULL;NULL;2000;NULL;1;1;2;2;NULL;99;2;2;2;2;2;5;2;2;3;2;2;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
4;INSTITUTO CAPACITACION ;INSTITUTO CAPACITACIÓN ;1;2;Lirium;NULL;1;36;1;2;0;1;99;99;3;1;Aula Uruguay;7;NULL;2;99;99;99;2;99;99;1;1;99;1;1;1;99;4;NULL;2;0;2;99;1;99;NULL;2;1;21;Alimentos y bebidas/ Servicio habitaciones;21.2.;Mozo SH      ;;5;6;1;2;99;NULL;3;99;NULL;11;NULL;NULL;NULL;99;4;NULL;NULL;NULL;6;99;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1
5;POCITOS;TRABAJO;1;2;Fellini;14;2;26;2;0;3;1;99;2017;12;2;99;7;NULL;1;3;99;20;1;2;Mercado de capitales;2;1;99;1;1;2;99;3;NULL;1;36;3;99;1;99;NULL;2;1;6;Compras - apoyo;6.4.;Jefe de compras     ;;2;1;1;2;99;NULL;1;99;NULL;4;NULL;NULL;NULL;99;3;NULL;NULL;NULL;5;99;4;4;3;2;2;2;1;3;4;3;3;1;0;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1
6;PUNTA CARRETAS;TRABAJO;4;1;Sheraton;104;1;35;1;0;0;1;99;99;6;2;99;1;NULL;1;3;99;500;2;99;99;2;1;99;1;1;1;99;2;NULL;1;40;NULL;NULL;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.16.;Chef       ;;1;3;1;1;99;NULL;1;99;45000;11;NULL;5000;1000;NULL;1;1;1;1;1;99;5;5;4;4;5;5;4;4;4;5;4;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;CIUDAD VIEJA;TRABAJO;1;1;Don Boutique Hotel;21;2;31;2;0;1;1;99;2011;10;2;99;7;NULL;1;3;99;100;2;99;99;1;1;99;1;1;1;99;2;NULL;1;44;NULL;  ;1;99;NULL;2;1;5;Gerencia general - apoyo;5.1.;Secretaría de Gerencia general    ;;2;1;1;2;99;NULL;1;99;45000;11;NULL;NULL;NULL;99;4;4;3;4;3;99;4;5;4;1;1;3;1;5;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0
8;CIUDAD VIEJA;TRABAJO;1;2;El Ceibo;22;2;32;2;0;4;1;99;1999;4;2;99;7;NULL;2;99;99;99;1;NULL;NULL;2;1;99;1;1;1;99;2;NULL;1;24;1;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;2;1;1;1;99;NULL;4;NULL;11367;11;NULL;6000;NULL;NULL;1;4;2;1;6;99;2;3;1;1;1;3;1;1;3;4;3;1;1;1;1;0;1;1;1;0;1;NULL;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
9;CARRASCO;TRABAJO;1;1;Howard Johnson;83;2;33;1;5;0;1;99;99;3;2;99;7;NULL;1;3;99;30;1;2;Empleada;2;1;99;1;1;1;99;2;NULL;1;44;NULL;NULL;1;99;NULL;2;2;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;4;1;1;3;99;NULL;1;99;NULL;2;NULL;NULL;NULL;99;1;1;1;1;NULL;99;3;5;5;1;3;5;4;1;3;4;3;1;1;1;0;1;1;1;1;1;0;NULL;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1
10;CIUDAD VIEJA;TRABAJO;1;1;Hotel Don Boutique;21;2;36;1;1;1;2;Cuba;2016;8;2;99;2;99;1;3;99;99;2;99;99;2;1;99;1;1;1;99;5;NULL;1;48;NULL;NULL;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;1;1;1;99;NULL;1;99;20000;11;NULL;500;NULL;NULL;1;1;1;1;NULL;99;1;3;1;3;3;5;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1
